Jumlah K,Akurasi Model KNN Z-Score,Akurasi Model KNN MinMax
1,0.7642857142857142,0.7714285714285715
2,0.725,0.725
3,0.7892857142857143,0.7678571428571429
4,0.7821428571428571,0.7767857142857143
5,0.7821428571428571,0.7857142857142857
6,0.7857142857142857,0.7857142857142857
7,0.7875,0.7892857142857143
8,0.775,0.7928571428571428
9,0.7660714285714286,0.8089285714285714
10,0.775,0.8017857142857143
11,0.7767857142857143,0.7857142857142857
12,0.7767857142857143,0.7803571428571429
13,0.7785714285714286,0.7875
14,0.7732142857142857,0.7803571428571429
15,0.775,0.7839285714285714
16,0.7714285714285715,0.7875
17,0.7785714285714286,0.7964285714285714
18,0.7785714285714286,0.7982142857142858
19,0.7821428571428571,0.7857142857142857
20,0.7767857142857143,0.7857142857142857
21,0.7696428571428572,0.7803571428571429
22,0.7696428571428572,0.7839285714285714
23,0.7678571428571429,0.7732142857142857
24,0.7714285714285715,0.7714285714285715
25,0.7642857142857142,0.7642857142857142
26,0.7678571428571429,0.7642857142857142
27,0.7678571428571429,0.7625
28,0.7678571428571429,0.7625
29,0.7660714285714286,0.7535714285714286
30,0.7571428571428571,0.7625
31,0.7607142857142857,0.7571428571428571
32,0.775,0.7625
33,0.7696428571428572,0.7571428571428571
34,0.7660714285714286,0.7535714285714286
35,0.7642857142857142,0.7571428571428571
36,0.7660714285714286,0.7535714285714286
37,0.7589285714285714,0.7607142857142857
38,0.7625,0.7535714285714286
39,0.7660714285714286,0.7571428571428571
40,0.7660714285714286,0.7607142857142857
41,0.7678571428571429,0.7553571428571428
42,0.7642857142857142,0.7589285714285714
43,0.7642857142857142,0.75
44,0.7642857142857142,0.7571428571428571
45,0.7660714285714286,0.7464285714285714
46,0.7714285714285715,0.7446428571428572
47,0.7696428571428572,0.7446428571428572
48,0.7678571428571429,0.7392857142857143
49,0.7678571428571429,0.7339285714285714
50,0.7696428571428572,0.7357142857142858
51,0.7607142857142857,0.7339285714285714
52,0.7625,0.7375
53,0.7571428571428571,0.7375
54,0.7553571428571428,0.7392857142857143
55,0.7535714285714286,0.7375
56,0.7517857142857143,0.7464285714285714
57,0.7464285714285714,0.7410714285714286
58,0.7446428571428572,0.7392857142857143
59,0.7446428571428572,0.7375
60,0.7375,0.7339285714285714
61,0.7303571428571428,0.7339285714285714
62,0.7357142857142858,0.7285714285714285
63,0.7375,0.7303571428571428
64,0.7339285714285714,0.7303571428571428
65,0.7339285714285714,0.7303571428571428
66,0.7375,0.7357142857142858
67,0.7392857142857143,0.7267857142857143
68,0.7375,0.7303571428571428
69,0.7410714285714286,0.7321428571428571
70,0.7357142857142858,0.7303571428571428
71,0.7303571428571428,0.7267857142857143
72,0.7392857142857143,0.725
73,0.7392857142857143,0.7267857142857143
74,0.7392857142857143,0.7285714285714285
75,0.7375,0.7285714285714285
76,0.7375,0.7303571428571428
77,0.7375,0.7267857142857143
78,0.7357142857142858,0.7214285714285714
79,0.7410714285714286,0.725
80,0.7357142857142858,0.7285714285714285
81,0.7392857142857143,0.7303571428571428
82,0.7392857142857143,0.7303571428571428
83,0.7446428571428572,0.7303571428571428
84,0.7446428571428572,0.7321428571428571
85,0.7482142857142857,0.7321428571428571
86,0.7446428571428572,0.7321428571428571
87,0.7464285714285714,0.7303571428571428
88,0.7410714285714286,0.7232142857142857
89,0.7392857142857143,0.7232142857142857
90,0.7392857142857143,0.7214285714285714
91,0.7375,0.7267857142857143
92,0.7392857142857143,0.7267857142857143
93,0.7392857142857143,0.7267857142857143
94,0.7392857142857143,0.7267857142857143
95,0.7375,0.7285714285714285
96,0.7339285714285714,0.725
97,0.7375,0.725
98,0.7375,0.7160714285714286
99,0.7392857142857143,0.7232142857142857
100,0.7392857142857143,0.7178571428571429
